GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fitness-tracker-bht,default,MainFx,37,0,0,0,11,0,3,0,3,0
fitness-tracker-bht,default,Main,25,0,0,0,8,0,3,0,3,0
fitness-tracker-bht,controller,BmrController,79,0,0,0,20,0,2,0,2,0
fitness-tracker-bht,controller,BmrControllerFx,83,0,0,0,20,0,3,0,3,0
fitness-tracker-bht,view,BmrView,195,0,4,0,41,0,10,0,8,0
fitness-tracker-bht,view,BmrViewFx,451,0,4,0,83,0,11,0,9,0
fitness-tracker-bht,database,FileBmrRepository,91,0,2,0,25,0,4,0,3,0
fitness-tracker-bht,model,BmrCalculator,3,33,0,2,1,5,1,2,1,1
fitness-tracker-bht,model,UserProfile,0,88,1,17,0,23,1,16,0,8
